order_id,order_date,order_type,customer_id,channel,category,sub_category,sku_id,product,city,region,payment_mode,quantity,unit_price,discount_pct,net_sales,gst_amount,cogs,gross_profit
ORD202300001,2023-02-09,Sale,CUST01773,Store,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,Lucknow,North,UPI,2,1049,0.200000002980232,1678.40002441406,83.9199981689453,1202,476.399993896484
ORD202300002,2023-05-29,Sale,CUST00472,Online,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,Bengaluru,South,UPI,1,1049,0.140000000596046,902.140014648438,45.1100006103516,601,301.140014648438
ORD202300002,2023-05-29,Sale,CUST00472,Online,Womenswear,Leggings & Bottoms,SKU1038,Essential Leggings & Bottoms,Bengaluru,South,UPI,1,749,0.189999997615814,606.690002441406,30.3299999237061,315,291.690002441406
ORD202300003,2023-10-01,Sale,CUST01137,Store,Menswear,Shirts,SKU1003,Festive Shirts,Kolkata,East,Credit Card,1,1399,0.200000002980232,1119.19995117188,134.300003051758,697,422.200012207031
ORD202300004,2023-09-18,Sale,CUST00582,Store,Kidswear,Kids Bottoms,SKU1046,Essential Kids Bottoms,Hyderabad,South,Credit Card,1,349,0,349,17.4500007629395,190,159
ORD202300005,2023-01-25,Sale,CUST01033,Online,Menswear,Jeans & Trousers,SKU1015,Heritage Jeans & Trousers,Bengaluru,South,Debit Card,1,2549,0.319999992847443,1733.31994628906,NULL,1319,414.320007324219
ORD202300006,2023-11-13,Sale,CUST01202,Online,Menswear,Jeans & Trousers,SKU1015,Heritage Jeans & Trousers,Chennai,South,Debit Card,1,2549,0,2549,305.880004882813,1319,1230
ORD202300007,2023-12-23,Sale,CUST01048,Store,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,Lucknow,North,Credit Card,1,1049,0.150000005960464,891.650024414063,44.5800018310547,601,290.649993896484
ORD202300008,2023-10-23,Sale,CUST02396,Store,Accessories,Handbags,SKU1077,Festive Handbags,Ahmedabad,West,Credit Card,1,1449,0,1449,173.880004882813,826,623
ORD202300008,2023-10-23,Sale,CUST02396,Store,Menswear,T-Shirts,SKU1008,Premium T-Shirts,Ahmedabad,West,Credit Card,2,1099,0.140000000596046,1890.28002929688,94.5100021362305,1084,806.280029296875
ORD202300009,2023-03-23,Sale,CUST01779,Store,Accessories,Belts & Wallets,SKU1072,Festive Belts & Wallets,Pune,West,Net Banking,1,1149,0.209999993443489,907.710021972656,45.3899993896484,502,405.709991455078
ORD202300009,2023-03-23,Sale,CUST01779,Store,Accessories,Handbags,SKU1079,Everyday Handbags,Pune,West,Net Banking,1,2449,0,2449,293.880004882813,1136,1313
ORD202300010,2023-11-21,Sale,CUST01761,Store,Womenswear,Sarees,SKU1030,Heritage Sarees,Bengaluru,South,UPI,2,1449,0.259999990463257,2144.52001953125,257.339996337891,1764,380.519989013672
ORD202300011,2023-07-02,Sale,CUST00359,Store,Kidswear,Kids Ethnic,SKU1054,Essential Kids Ethnic,Bengaluru,South,Credit Card,1,849,0.389999985694885,517.890014648438,25.8899993896484,455,62.8899993896484
ORD202300012,2023-07-31,Sale,CUST00595,Store,Accessories,Caps & Scarves,SKU1089,Everyday Caps & Scarves,Gurugram,North,UPI,2,299,0.319999992847443,406.640014648438,20.3299999237061,198,208.639999389648
ORD202300013,2023-10-18,Sale,CUST00144,Store,Menswear,Shirts,SKU1005,Heritage Shirts,Coimbatore,South,Credit Card,1,1949,0.189999997615814,1578.68994140625,189.440002441406,989,589.690002441406
ORD202300014,2023-09-26,Sale,CUST01416,Store,Menswear,Jeans & Trousers,SKU1011,Festive Jeans & Trousers,Bengaluru,South,Credit Card,3,2049,0.0900000035762787,5593.77001953125,671.25,3090,2503.77001953125
ORD202300015,2023-05-24,Sale,CUST02200,Online,Womenswear,Kurtis,SKU1022,Signature Kurtis,Pune,West,UPI,1,1449,0.100000001490116,1304.09997558594,156.490005493164,714,590.099975585938
ORD202300016,2023-03-18,Sale,CUST01606,Store,Womenswear,Sarees,SKU1028,Premium Sarees,Coimbatore,South,Credit Card,2,3399,0,6798,815.760009765625,4230,2568
ORD202300017,2023-08-06,Sale,CUST00172,Store,Footwear,Sports Shoes,SKU1066,Premium Sports Shoes,Mumbai,West,Net Banking,2,3949,0.0700000002980232,7345.14013671875,881.419982910156,4464,2881.13989257813
ORD202300018,2023-07-22,Sale,CUST00318,Store,Accessories,Watches,SKU1083,Urban Watches,Delhi,North,UPI,1,4999,0.330000013113022,3349.330078125,602.880004882813,2901,448.329986572266
ORD202300019,2023-04-06,Sale,CUST01011,Store,Accessories,Handbags,SKU1078,Essential Handbags,Bengaluru,South,Cash,1,649,0,649,32.4500007629395,339,310
ORD202300020,2023-03-08,Sale,CUST00554,Store,Womenswear,Sarees,SKU1026,Festive Sarees,Hyderabad,South,Cash,1,4949,0,4949,593.880004882813,2888,2061
ORD202300021,2023-07-03,Sale,CUST00825,Online,Womenswear,Sarees,SKU1026,Festive Sarees,Mumbai,West,COD,1,4949,0.46000000834465,2672.4599609375,320.700012207031,2888,-215.539993286133
ORD202300022,2023-09-16,Sale,CUST01002,Online,Womenswear,Sarees,SKU1026,Festive Sarees,Delhi,North,UPI,2,4949,0.129999995231628,8611.259765625,1033.34997558594,5776,2835.26000976563
ORD202300023,2023-11-04,Sale,CUST02340,Online,Accessories,Watches,SKU1083,Urban Watches,Lucknow,North,Cash,1,4999,0.370000004768372,3149.3701171875,566.890014648438,2901,248.369995117188
ORD202300024,2023-04-19,Sale,CUST00601,Online,Accessories,Watches,SKU1083,Urban Watches,Chennai,South,UPI,1,4999,0.319999992847443,3399.32006835938,611.880004882813,2901,498.320007324219
ORD202300025,2023-09-09,Sale,CUST00441,Online,Accessories,Handbags,SKU1077,Festive Handbags,Pune,West,UPI,1,1449,0.200000002980232,1159.19995117188,139.100006103516,826,333.200012207031
ORD202300026,2023-07-24,Sale,CUST00431,Store,Womenswear,Sarees,SKU1030,Heritage Sarees,Lucknow,North,Debit Card,1,1449,0.46000000834465,782.460021972656,39.1199989318848,882,-99.5400009155273
ORD202300027,2023-11-20,Sale,CUST01965,Store,Kidswear,Kids Bottoms,SKU1046,Essential Kids Bottoms,Chennai,South,COD,1,349,0.129999995231628,303.630004882813,15.1800003051758,190,113.629997253418
ORD202300027,2023-11-20,Sale,CUST01965,Store,Menswear,T-Shirts,SKU1009,Classic T-Shirts,Chennai,South,COD,3,499,0.170000001788139,1242.51000976563,62.1300010681152,684,558.510009765625
ORD202300027,2023-11-20,Sale,CUST01965,Store,Womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,Chennai,South,COD,1,1149,0,1149,137.880004882813,611,538
ORD202300028,2023-05-18,Sale,CUST01826,Online,Kidswear,Kids Ethnic,SKU1053,Premium Kids Ethnic,Gurugram,North,Credit Card,2,649,0.159999996423721,1090.31994628906,54.5200004577637,698,392.320007324219
ORD202300029,2023-08-06,Sale,CUST01326,Online,Accessories,Watches,SKU1081,Everyday Watches,Pune,West,Net Banking,2,4949,0,9898,1781.64001464844,5466,4432
ORD202300029,2023-08-06,Sale,CUST01326,Online,Womenswear,Leggings & Bottoms,SKU1036,Premium Leggings & Bottoms,Pune,West,Net Banking,1,749,0,749,37.4500007629395,320,429
ORD202300030,2023-11-04,Sale,CUST01581,Store,Menswear,Shirts,SKU1001,Signature Shirts,Bengaluru,South,UPI,2,2149,0.189999997615814,3481.3798828125,417.769989013672,2360,1121.38000488281
ORD202300030,2023-11-04,Sale,CUST01581,Store,Womenswear,Dresses & Tops,SKU1035,Festive Dresses & Tops,Bengaluru,South,UPI,1,2349,0.200000002980232,1879.19995117188,225.5,1271,608.200012207031
ORD202300031,2023-01-10,Sale,CUST02061,Store,Kidswear,Kids Tops,SKU1042,Classic Kids Tops,Hyderabad,South,COD,1,599,0.360000014305115,383.359985351563,19.1700000762939,255,128.360000610352
ORD202300032,2023-11-29,Sale,CUST01197,Store,Menswear,Jeans & Trousers,SKU1012,Urban Jeans & Trousers,Kolkata,East,UPI,1,1299,0.239999994635582,987.239990234375,49.3600006103516,698,289.239990234375
ORD202300033,2023-01-03,Sale,CUST02469,Store,Kidswear,Kids Tops,SKU1042,Classic Kids Tops,Hyderabad,South,UPI,1,599,0.310000002384186,413.309997558594,20.6700000762939,255,158.309997558594
ORD202300034,2023-10-07,Sale,CUST01920,Store,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,Unknown,South,UPI,1,1049,0.280000001192093,755.280029296875,37.7599983215332,601,154.279998779297
ORD202300034,2023-10-07,Sale,CUST01920,Store,Womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,Unknown,South,UPI,1,1149,0.219999998807907,896.219970703125,44.810001373291,611,285.220001220703
ORD202300035,2023-06-05,Sale,CUST00647,Store,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,Kochi,South,COD,1,1049,0.0299999993294477,1017.53002929688,122.099998474121,601,416.529998779297
ORD202300035,2023-06-05,Sale,CUST00647,Store,Footwear,Casual Shoes,SKU1056,Premium Casual Shoes,Kochi,South,COD,1,2299,0.170000001788139,1908.17004394531,228.979995727539,1252,656.169982910156
ORD202300035,2023-06-05,Sale,CUST00647,Store,Womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,Kochi,South,COD,2,1149,0.0500000007450581,2183.10009765625,261.970001220703,1222,961.099975585938
ORD202300036,2023-02-05,Sale,CUST01549,Store,Womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,Gurugram,North,Unknown,1,1149,0.189999997615814,930.690002441406,46.5299987792969,611,319.690002441406
ORD202300037,2023-12-31,Sale,CUST00199,Store,Footwear,Casual Shoes,SKU1060,Heritage Casual Shoes,Hyderabad,South,UPI,1,1499,0,1499,179.880004882813,918,581
ORD202300037,2023-12-31,Sale,CUST00199,Store,Kidswear,Kids Bottoms,SKU1050,Festive Kids Bottoms,Hyderabad,South,UPI,2,799,0,1598,79.9000015258789,786,812
ORD202300037,2023-12-31,Sale,CUST00199,Store,Womenswear,Dresses & Tops,SKU1034,Premium Dresses & Tops,Hyderabad,South,UPI,1,799,0,799,39.9500007629395,459,340
ORD202300038,2023-09-21,Sale,CUST00034,Online,Kidswear,Kids Bottoms,SKU1050,Festive Kids Bottoms,Mumbai,West,UPI,1,799,0.100000001490116,719.099975585938,35.9599990844727,393,326.100006103516
ORD202300038,2023-09-21,Sale,CUST00034,Online,Womenswear,Dresses & Tops,SKU1035,Festive Dresses & Tops,Mumbai,West,UPI,2,2349,0.150000005960464,3993.30004882813,479.200012207031,2542,1451.30004882813
ORD202300039,2023-12-29,Sale,CUST01747,Online,Footwear,Sandals & Flats,SKU1061,Everyday Sandals & Flats,Delhi,North,UPI,1,1749,0,1749,209.880004882813,1026,723
ORD202300040,2023-02-13,Sale,CUST00853,Store,Womenswear,Kurtis,SKU1022,Signature Kurtis,Kochi,South,Debit Card,1,1449,0,1449,173.880004882813,714,735
ORD202300041,2023-03-23,Sale,CUST01708,Store,Accessories,Watches,SKU1083,Urban Watches,Bhubaneswar,East,UPI,1,4999,0,4999,899.820007324219,2901,2098
ORD202300041,2023-03-23,Sale,CUST01708,Store,Footwear,Sports Shoes,SKU1066,Premium Sports Shoes,Bhubaneswar,East,UPI,4,3949,0.0500000007450581,15006.2001953125,1800.73999023438,8928,6078.2001953125
ORD202300042,2023-10-02,Sale,CUST02222,Store,Accessories,Watches,SKU1083,Urban Watches,Ahmedabad,West,Credit Card,1,4999,0.180000007152557,4099.18017578125,737.849975585938,2901,1198.18005371094
ORD202300042,2023-10-02,Sale,CUST02222,Store,Footwear,Sandals & Flats,SKU1061,Everyday Sandals & Flats,Ahmedabad,West,Credit Card,1,1749,0.259999990463257,1294.26000976563,155.309997558594,1026,268.260009765625
ORD202300042,2023-10-02,Sale,CUST02222,Store,Footwear,Sandals & Flats,SKU1062,Classic Sandals & Flats,Ahmedabad,West,Credit Card,2,1999,0.219999998807907,3118.43994140625,374.209991455078,2168,950.440002441406
ORD202300042,2023-10-02,Sale,CUST02222,Store,Menswear,Mens Kurtas,SKU1017,Premium Mens Kurtas,Ahmedabad,West,Credit Card,1,999,0.150000005960464,849.150024414063,42.4599990844727,421,428.149993896484
ORD202300043,2023-09-05,Sale,CUST02426,Store,Kidswear,Kids Ethnic,SKU1052,Signature Kids Ethnic,Coimbatore,South,UPI,1,699,0,699,34.9500007629395,365,334
